provider_name,lang_code
PP-SLOT,G00011
PP-LIVE,G00011
GG,G00011
SEXY,G10020
SG-FISH,G10020
SG-SLOT,G10020
KM,G10020
JILI,G10020
HBN,G00009
SA,G00002
PG,G00100
RT,G00001
Kiron,G00004
MG,G00007
RR,G00200
BluePrint,G00101
ALLBET,G10030
Playson,G00009
CQ9-SLOT,G10090
CQ9-FISH,G10090
EVO,G10203
Joker,G00010
QTech,G100023
BPG,G100023
BNG,G100023
ELK,G100023
HAK,G100023
IDS,G100023
MV,G100023
NT,G100023
NLC,G100023
PNG,G100023
PUG,G100023
QS,G100023
RLX,G100023
TK,G100023
YGG,G100023
Kiron,G100023
SBO-SPORT,G00009
SBO-LIVE,G00009
TF,G00008
SIMPLE,G100023
JDB,G10020
UG,G00020
Kiron,G10001
JILI-FISH,G10020
MG,G10000
BTI,G00020
BG,G10100
PNG,G00011
BPG,G00011
RLX,G00011
QS,G00011
HAK,G00011
ELK,G00011
BNG,G00011
PUG,G00011
YGG,G00011
HBN,G00011
SBO-SLOT,G00009
Mega,G00011
CMD,G00020
M8,G00020
FUNKY,G00009
PlayTech-SLOT,G00001
PlayTech-LIVE,G00001
DG,G10051
NextSpin,G00011
Oriental,G10051
WM,G10051
EZUGI,G10051
HG,G10051
DT,G00011
ELK,G00003
KA,G00011
KA-FISH,G00011
YEEBET,G10051
GPI-SLOT,G00001
GPI-LOTTERY,G00009
YGG-SBO,G00011
NLC,G00011
PNG,G00001
QS,G00008
HBN,G100023
BBIN-SLOT,G00011
BBIN-LIVE,G00009
BBIN-FISH,G10090
PLAYSTAR-CARD,G10051
JDB-FISH,G10051
BluePrint,G00001
BG-FISH,G00011
BG-LIVE,G00011
